season_start,avg_age
1996,27.96371882086168
1997,28.084282460136674
1998,28.002277904328015
1999,28.10730593607306
2000,28.09750566893424
2001,27.672727272727272
2002,27.5303738317757
2003,27.457013574660632
2004,27.29741379310345
2005,26.890829694323145
2006,26.85807860262009
2007,27.192904656319293
2008,26.9438202247191
2009,27.079185520361992
2010,27.134955752212388
2011,27.08995815899582
2012,27.066098081023455
2013,26.96265560165975
2014,26.98170731707317
2015,27.05252100840336
2016,26.847736625514404
2017,26.524074074074075
2018,26.350943396226416
2019,26.005671077504726
2020,25.994444444444447
2021,26.16694214876033
2022,26.150278293135433
