season_start,position_group,usg_pct
2004,All,0.1880052770448549
2004,C,0.1630609756097561
2004,F,0.1912484076433121
2004,G,0.19897857142857142
2005,All,0.1861095890410959
2005,C,0.16296296296296295
2005,F,0.19166901408450704
2005,G,0.19375352112676056
2006,All,0.1885040650406504
2006,C,0.15973076923076923
2006,F,0.19346153846153846
2006,G,0.19887837837837838
2007,All,0.1879220430107527
2007,C,0.17193243243243245
2007,F,0.1875436241610738
2007,G,0.19624161073825502
2008,All,0.18690983606557376
2008,C,0.17427380952380953
2008,F,0.18647857142857144
2008,G,0.19480985915492957
2009,All,0.18500547945205478
2009,C,0.17315853658536584
2009,F,0.18206756756756756
2009,G,0.19542222222222222
2010,All,0.18413746630727762
2010,C,0.16080769230769232
2010,F,0.1820204081632653
2010,G,0.19873287671232875
2011,All,0.18709814323607427
2011,C,0.16763095238095238
2011,F,0.18380821917808218
2011,G,0.20148979591836735
2012,All,0.18894960212201592
2012,C,0.1707027027027027
2012,F,0.18724183006535947
2012,G,0.19969333333333333
2013,All,0.1875421052631579
2013,C,0.17167105263157895
2013,F,0.18268354430379746
2013,G,0.20106164383561645
2014,All,0.1899002557544757
2014,C,0.17628767123287672
2014,F,0.1783607594936709
2014,G,0.20750625
2015,All,0.1894219948849105
2015,C,0.1812608695652174
2015,F,0.18091390728476822
2015,G,0.2002280701754386
2016,All,0.1888342105263158
2016,C,0.17917391304347827
2016,F,0.17953548387096774
2016,G,0.20234615384615384
2017,All,0.18638717948717948
2017,C,0.18067948717948717
2017,F,0.17988079470198676
2017,G,0.19525465838509318
2018,All,0.18307142857142858
2018,C,0.1829294117647059
2018,F,0.1747054794520548
2018,G,0.19012
2019,All,0.1822979797979798
2019,C,0.17482432432432432
2019,F,0.17367808219178082
2019,G,0.1925909090909091
2020,All,0.1825860465116279
2020,C,0.17642222222222223
2020,F,0.1731206896551724
2020,G,0.19584939759036143
2021,All,0.17934375
2021,C,0.1746951219512195
2021,F,0.17013872832369942
2021,G,0.1895699481865285
2022,All,0.18070257611241217
2022,C,0.17029885057471264
2022,F,0.1731288343558282
2022,G,0.1927909604519774
