season_1,position_group,avg_height,avg_weight
2004,C,212.0363940563047,117.44319718308567
2004,F,204.85633813061773,105.4143082837845
2004,G,192.79595152172044,90.71331049116282
2005,C,211.88649414756364,117.6389266013986
2005,F,204.85200419046674,105.40175379072609
2005,G,191.70394551789678,89.73428495771935
2006,C,211.83567130378523,116.86718637140086
2006,F,205.1127451133698,106.77931604566068
2006,G,191.70837215323968,90.16018261288765
2007,C,211.45285634689128,116.07719732109732
2007,F,203.92124412787715,105.04298910721562
2007,G,192.06444589765738,90.17949134605415
2008,C,210.87229882642495,116.19419992556344
2008,F,204.32467405273056,104.49202238859354
2008,G,192.77531224337207,91.22924487626706
2009,C,210.91168170631664,115.8948884291033
2009,F,204.4551556532809,104.67511012377683
2009,G,191.87385971455575,90.15975032731615
2010,C,211.05125546207526,116.09556040592186
2010,F,204.7682994518483,105.96520279784829
2010,G,192.2053200763716,90.07895276717461
2011,C,210.98381330176906,116.51795956108641
2011,F,204.8658569359511,105.31899341894646
2011,G,192.27003230206014,90.46305981891705
2012,C,211.031057769394,116.76097665041263
2012,F,205.02432910786888,106.11315437582715
2012,G,191.9503308469147,90.36337898405826
2013,C,210.90700090392562,116.15030300723141
2013,F,204.71177752398955,105.73539577258826
2013,G,191.45848298193505,89.87179395481327
2014,C,211.6051703019233,116.39231478356793
2014,F,204.91183321530187,106.05398737256947
2014,G,191.97268810651167,90.22593352688575
2015,C,211.70279665516327,116.05362643058136
2015,F,205.46207590528255,105.81831783091882
2015,G,192.38953216121647,90.57415109611648
2016,C,211.93925561662329,115.75245636280654
2016,F,204.69763837435102,105.21962585767997
2016,G,192.31144845458712,90.18513818768363
2017,C,211.4801322125659,115.28786111503062
2017,F,204.74520888454705,104.27157583631158
2017,G,192.26509165997476,89.88559530535736
2018,C,211.32228987799368,114.29926557749661
2018,F,204.58038200880443,102.89927895644118
2018,G,193.04201197942646,90.71691358770809
2019,C,210.3280281089078,115.52643293794988
2019,F,202.9530429743224,102.90236938385638
2019,G,191.88916091679727,90.63475898874232
2020,C,210.46679619237054,114.16596795709312
2020,F,201.7642857965839,101.39614930944494
2020,G,191.73915174802076,90.59873132829996
2021,C,209.78449498654928,114.25491694818854
2021,F,202.00474805928016,101.03001545236414
2021,G,191.69938266199645,90.13963015429991
2022,C,209.3363600496357,113.38352442724872
2022,F,202.29152648060648,100.41234035644435
2022,G,192.0108394060369,89.8481506505291
